id,prompt
1,What's the price for SPX on 2025-10-01?
2,What is the current price of XBT?
3,What is the current price of Bitcoin?
4,What is the recent interest rate for Canada?
5,What's the recent Canada interest rate?
6,What is the recent interest rate?
7,What is the price of SPX on 1/1/1975?
8,What is the price of SPX on 1/1/2030?
9,What is the price of SPX on 1/1/2975?
10,Canada BBB 10Y corporate yield change YTD
11,What's the YTD return for SPX?
12,What's the YTD return for SLF?
13,What's the YTD return for NVIDIA?
14,Price change of USGG10YR Index from 2025-01-02 to 2025-06-01
15,What's the performance of Sun Life stock last year?
16,US 10Y and 3M government rate spread
17,Spread between US 10Y swap rate and government rate
18,Spread between US 10Y swap rate and Treasury rate
19,How much higher is US 3M rate vs Canada?
20,How much higher is US vs Canada 3M rate?
21,How's the market doing?
22,How's the CA market doing?
23,How's the CA bond market doing?
24,What is the standard deviation of SPX return in the past year?
25,Make a plot of SP500 stock price in the last year
26,Interpolate the US 10Y and 20Y swap rate to calculate 11Y rate
27,Where are the data coming from?
28,What's the difference between LICAT and RBC?
29,What's the performance of Sum Lite stock last year?
30,US 10Y and 3M government rat spread
31,What is the current price of Bugcoin?
32,标普500过去一年表现如何
33,加拿大10年和3个月利率的利差是多少？
34,¿Cuál es el retorno de las acciones de pequeña capitalización en el último año?
